1.1092000000	0.1113811567	0.0001532144	94.1773200000	0.0854970374	
1.3008000000	0.1303397033	0.0002081023	82.6652800000	0.0509073682	
1.5255000000	0.1501910767	0.0001660610	70.9562400000	0.0591832571	
1.7890000000	0.1689112800	0.0001060223	59.0401200000	0.0487169039	
2.0980000000	0.1855027400	0.0002073287	47.1653600000	0.0355872436	
2.4600000000	0.1982804300	0.0001127210	35.2837400000	0.0426619174	
2.8850000000	0.2065647700	0.0001112052	23.4636200000	0.0188392851	
3.3830000000	0.2091598367	0.0000859316	11.8754600000	0.0503519559	
3.9680000000	0.2061170533	0.0000872825	0.7205000000	0.0231702294	
4.6540000000	0.1973679700	0.0000671668	-9.8124000000	0.0237275506	
5.4580000000	0.1840720467	0.0002280835	-19.5001200000	0.0335125235	
6.4000000000	0.1678159133	0.0001402395	-28.0610200000	0.0337365298	
7.5060000000	0.1504019300	0.0000542299	-35.4957000000	0.0298939597	
8.8030000000	0.1328410000	0.0000632015	-41.6523600000	0.0321689270	
10.3240000000	0.1163414900	0.0000301722	-46.5127400000	0.0113207596	
12.1070000000	0.1017464067	0.0000793222	-50.2083600000	0.0254911041	
14.1990000000	0.0893475853	0.0000292045	-52.8245000000	0.0193348421	
16.6520000000	0.0786856783	0.0000226460	-54.5395000000	0.0245184389	
19.5280000000	0.0701173690	0.0000460475	-55.7152200000	0.0257612839	
22.9000000000	0.0629571120	0.0000326871	-56.6583000000	0.0385770740	
26.8500000000	0.0570010000	0.0000196415	-57.4665600000	0.0436085475	
31.4900000000	0.0518830590	0.0000329326	-58.3761800000	0.0281668630	
36.9300000000	0.0475084750	0.0000337562	-59.6187600000	0.0125229849	
43.3200000000	0.0436251357	0.0000252807	-61.2665400000	0.0282035435	
50.8000000000	0.0400451967	0.0000193854	-63.2963800000	0.0232140455	
59.5800000000	0.0367353683	0.0000134559	-65.8757400000	0.0224385985	
69.8700000000	0.0336124017	0.0000149873	-69.0155600000	0.0211816416	
81.9400000000	0.0305801280	0.0000064651	-72.7239800000	0.0117310838	
96.0900000000	0.0276826500	0.0000091653	-77.0516600000	0.0204871540	
112.6900000000	0.0249358467	0.0000131270	-82.0090800000	0.0136886155	
132.1600000000	0.0222795107	0.0000176867	-87.6520200000	0.0467036441	
154.9900000000	0.0196563580	0.0000090575	-93.8281600000	0.0318772898	
181.7700000000	0.0170933550	0.0000095591	-100.5031800000	0.0239264676	
213.1000000000	0.0146885567	0.0000141710	-107.6348000000	0.0278774192	
250.0000000000	0.0123668167	0.0000129216	-115.1619800000	0.0333055119	
